Comuna,Región
Algarrobo,Valparaíso
Alhué,Metropolitana
Alto Biobío,Biobío
Alto del Carmen,Atacama
Alto Hospicio,Tarapacá
Ancud,Los Lagos
Andacollo,Coquimbo
Angol,La Araucanía
Antártica,Magallanes
Antofagasta,Antofagasta
Antuco,Biobío
Arauco,Biobío
Arica,Arica y Parinacota
Aysén,Aysén
Buin,Metropolitana
Bulnes,Ñuble
Cabildo,Valparaíso
Cabo de Hornos,Magallanes
Cabrero,Biobío
Calama,Antofagasta
Calbuco,Los Lagos
Caldera,Atacama
Calera de Tango,Metropolitana
Calle Larga,Valparaíso
Camarones,Arica y Parinacota
Camiña,Tarapacá
Canela,Coquimbo
Cañete,Biobío
Carahue,La Araucanía
Cartagena,Valparaíso
Casablanca,Valparaíso
Castro,Los Lagos
Catemu,Valparaíso
Cauquenes,Maule
Cerrillos,Metropolitana
Cerro Navia,Metropolitana
Chaitén,Los Lagos
Chanco,Maule
Chañaral,Atacama
Chépica,O'Higgins
Chiguayante,Biobío
Chile Chico,Aysén
Chillán,Ñuble
Chillán Viejo,Ñuble
Chimbarongo,O'Higgins
Cholchol,La Araucanía
Chonchi,Los Lagos
Cisnes,Aysén
Cobquecura,Ñuble
Cochamó,Los Lagos
Cochrane,Aysén
Codegua,O'Higgins
Coelemu,Ñuble
Coihueco,Ñuble
Coinco,O'Higgins
Colbún,Maule
Colchane,Tarapacá
Colina,Metropolitana
Collipulli,La Araucanía
Coltauco,O'Higgins
Combarbalá,Coquimbo
Concepción,Biobío
Conchalí,Metropolitana
Concón,Valparaíso
Constitución,Maule
Contulmo,Biobío
Copiapó,Atacama
Coquimbo,Coquimbo
Coronel,Biobío
Corral,Los Ríos
Coyhaique,Aysén
Cunco,La Araucanía
Curacautín,La Araucanía
Curacaví,Metropolitana
Curaco de Vélez,Los Lagos
Curanilahue,Biobío
Curarrehue,La Araucanía
Curepto,Maule
Curicó,Maule
Dalcahue,Los Lagos
Diego de Almagro,Atacama
Doñihue,O'Higgins
El Bosque,Metropolitana
El Carmen,Ñuble
El Monte,Metropolitana
El Quisco,Valparaíso
El Tabo,Valparaíso
Empedrado,Maule
Ercilla,La Araucanía
Estación Central,Metropolitana
Florida,Biobío
Freire,La Araucanía
Freirina,Atacama
Fresia,Los Lagos
Frutillar,Los Lagos
Futaleufú,Los Lagos
Futrono,Los Ríos
Galvarino,La Araucanía
General Lagos,Arica y Parinacota
Gorbea,La Araucanía
Graneros,O'Higgins
Guaitecas,Aysén
Hijuelas,Valparaíso
Hualaihué,Los Lagos
Hualañé,Maule
Hualpén,Biobío
Hualqui,Biobío
Huara,Tarapacá
Huasco,Atacama
Huechuraba,Metropolitana
Illapel,Coquimbo
Independencia,Metropolitana
Iquique,Tarapacá
Isla de Maipo,Metropolitana
Isla de Pascua,Valparaíso
Juan Fernández,Valparaíso
La Calera,Valparaíso
La Cisterna,Metropolitana
La Cruz,Valparaíso
La Estrella,O'Higgins
La Florida,Metropolitana
